Fichero data/data_A.txt	 Filas 474
Fichero data/data_B0.txt	 Filas 2
Fichero data/data_C.txt	 Filas 726
Fichero data/data_D.txt	 Filas 901
Fichero data/data_E.txt	 Filas 147
Fichero data/data_G.txt	 Filas 144
Fichero data/data_H.txt	 Filas 3375
Fichero data/data_HV.txt	 Filas 298
Fichero data/data_I.txt	 Filas 161
Fichero data/data_J.txt	 Filas 769
Fichero data/data_JT.txt	 Filas 69
Fichero data/data_K.txt	 Filas 560
Fichero data/data_L0.txt	 Filas 684
Fichero data/data_L1.txt	 Filas 356
Fichero data/data_L2.txt	 Filas 72
Fichero data/data_L3.txt	 Filas 430
Fichero data/data_L4.txt	 Filas 34
Fichero data/data_L5.txt	 Filas 14
Fichero data/data_L6.txt	 Filas 7
Fichero data/data_M.txt	 Filas 1493
Fichero data/data_N.txt	 Filas 337
Fichero data/data_O.txt	 Filas 3
Fichero data/data_P.txt	 Filas 42
Fichero data/data_Q.txt	 Filas 26
Fichero data/data_R.txt	 Filas 736
Fichero data/data_S.txt	 Filas 10
Fichero data/data_T.txt	 Filas 622
Fichero data/data_V.txt	 Filas 220
Fichero data/data_W.txt	 Filas 177
Fichero data/data_Y.txt	 Filas 55
Fichero data/data_X.txt	 Filas 191
Fichero data/data_U.txt	 Filas 1247
